OFFICE,SGD.NUMBER,SGD.DATE,IMPORTER.TIN,FOB.VALUE,CIF.VALUE,TARIFF.DESCRIPTION,QUANTITE,TOTAL.TAXES,GROSS.WEIGHT,HS6,OFFICEHS6,SGD.WeekofYear
OO801,35040.0,10/11/2021,X25XX1A1XK,2247720,2247720,-- De froment (bl�),187.0,0.0,9396,110311.0,ML801110311,45.0
OO210,13147.0,08/06/2021,X25X2EX55X,113430,113430,- Autres meubles en bois,18.0,50003.0,500,940360.0,ML210940360,23.0
OO801,34620.0,03/11/2021,XAE115KAXA,9090000,9090000,--- Autres,1000.0,5615802.0,20000,151190.0,ML801151190,44.0
OO801,610.0,19/01/2022,XA5115A2KF,440143,440143,- Des types utilis�s pour autobus ou camions,4.0,142081.0,224,401120.0,ML801401120,3.0
OO104,39666.0,21/05/2021,XI1XX525EA,2500001,2500001,-- Autres,293.0,6250.0,5800,950669.0,ML104950669,21.0
OO899,10473.0,20/04/2021,XA22IAAA6H,10180574,10180574,---- Gas-oil,45000.0,0.0,39015,271019.0,ML899271019,16.0
OO400,7578.0,06/09/2021,XA51E5KI5X,2949180,2949180,--- Autres,313.0,1300000.0,3171,551219.0,ML802551219,36.0
OO104,24505.0,30/03/2021,6XX1XXXXAC,1967872,1967872,Cadres et conteneurs (y compris les conteneurs-citernes et les conteneurs-r�servoirs) sp,2.0,519127.0,4448,860900.0,ML104860900,13.0
OO241,16195.0,29/09/2022,XA512A16KM,3592858,3592858,-- Autres,26.0,8982.0,27111,721499.0,ML241721499,39.0
OO420,960.0,30/03/2021,XAE1IE1KXJ,2835000,2835000,-- Autres,900.0,510300.0,45000,252329.0,ML420252329,13.0
OO801,2737.0,26/01/2021,XE1XXE5E5H,11700000,11700000,--- Autres,2600.0,2106000.0,52000,151190.0,ML801151190,4.0
OO210,22642.0,25/09/2021,XA61E6EKIY,8750000,8750000,-- Autres,1250.0,2824500.0,25000,30319.0,ML210030319,39.0
OO899,16482.0,15/06/2021,XAII115AKL,19320070,19320070,--- Super carburant,55000.0,0.0,42350,271012.0,ML899271012,24.0
OO104,9035.0,19/02/2022,XAKAXX59XV,4410000,4410000,"- Ur�e, m�me en solution aqueuse",980.0,11025.0,49000,310210.0,ML104310210,8.0
OO121,26588.0,14/05/2021,XA51EI52KT,16000000,16000000,--- Obtenus par un autre proc�d� d'impression,881.0,40000.0,21000,520851.0,ML121520851,20.0
OO801,15573.0,27/05/2021,XE1XXE5E5H,2105460,2105460,- Riz d�cortiqu� (riz cargo ou riz brun),210.0,0.0,10528,100620.0,ML801100620,21.0
OO121,15935.0,15/06/2022,XAI2X156EX,1712031,1712031,-- Autres,7.0,451637.0,2747,847170.0,ML121847170,24.0
OO899,26844.0,21/06/2022,XAKAXX251N,44867,44867,---- Gas-oil,45000.0,0.0,39015,271019.0,ML899271019,25.0
OO205,6092.0,01/10/2021,XA22IXA1XK,"48855,44","48855,44",- Autres,3.0,15773.0,75,250100.0,ML205250100,40.0
OO801,18764.0,06/09/2022,XA2225116Y,15530781,15530781,-- Solide,960.0,4097023.0,24385,281511.0,ML801281511,36.0
OO100,7668.0,04/07/2022,XIIXXX6I5A,1075390,1075390,-- En r�cipients d'une contenance n'exc�dant pas 2�l,480.0,1250004.0,5760,220421.0,ML802220421,27.0
OO801,7597.0,07/04/2022,XA22XX62AA,5367702,5367702,"-- Pr�parations � base de lait contenant des mati�res grasses v�g�tales, en poudre ou en",149.0,0.0,3713,190190.0,ML801190190,14.0
OO121,50499.0,14/09/2021,XAE115KAXA,4000000,4000000,----- Autres,1900.0,10000.0,18000,380891.0,ML121380891,37.0
OO104,22134.0,24/04/2022,X11XX151IB,12000,12000,"-- Autres, obtenues � partir de lames ou formes similaires de poly�thyl�ne ou de polypro",1.0,30.0,120,630533.0,ML104630533,17.0
OO801,620.0,17/01/2022,XAKAXXX6EP,1710,1710,- Ressorts en h�lice,2.0,756.0,2,732020.0,ML801732020,3.0
OO210,14644.0,24/06/2021,X25X2XAAXK,3402900,3402900,- Autres,170.0,1500000.0,2805,831190.0,ML802831190,25.0
OO210,3052.0,26/02/2022,XA51E5KI5X,538000,538000,-- Autres,141.0,173667.0,2170,871410.0,ML210871410,9.0
OO811,1696.0,02/04/2021,1XX1XXXX2D,26292150,26292150,---- Autres,1.0,0.0,2606,870210.0,ML811870210,14.0
OO320,37587.0,06/12/2021,XAKAXX296K,27355511,27355511,"- Comportant des indentations, bourrelets, creux ou reliefs obtenus au cours du laminage",26.0,12058313.0,49400,721420.0,ML320721420,49.0
OO104,63335.0,09/08/2021,XA11XE19XG,8403617,8403617,- Parties,8.0,21009.0,655,848190.0,ML104848190,32.0
OO121,1911.0,24/01/2022,XA61IA6XIL,6000000,6000000,---- Gas-oil,45000.0,15000.0,39015,271019.0,ML121271019,4.0
OO210,7793.0,08/04/2021,XAIIEX2KEM,2268600,2268600,-- D'autres mati�res textiles,29.0,1000000.0,2835,620449.0,ML802620449,14.0
OO801,2620.0,08/02/2022,X11XX151IB,9025200,9025200,"--- En poudre, en granul�s ou cristallis�s",800.0,3978309.0,40112,170199.0,ML801170199,6.0
OO899,12566.0,10/05/2021,XA5126A12D,10180574,10180574,---- Gas-oil,45000.0,0.0,39015,271019.0,ML899271019,19.0
OO500,3292.0,04/07/2022,X51XXA5XAH,3465000,3465000,-- Autres,1100.0,623700.0,55000,252329.0,ML500252329,27.0
OO121,10910.0,26/04/2022,XAKAXXIKAX,26025094,26025094,---- Autres,1.0,65063.0,2650,870333.0,ML121870333,17.0
OO899,43128.0,30/12/2021,XAKAXX2IKL,15533378,15533378,---- Carbur�acteur,36500.0,0.0,29675,271019.0,ML899271019,52.0
